project_code,reporting_date,physical_progress,planned_progress,expenditure,revised_cost,delay_days,milestones_delayed,risk_score
PRJ-0001,2025-12-13,12.3,19.5,870.0,5117.5,60,0,38.4
PRJ-0001,2026-03-13,24.7,39.0,1740.0,5385.0,120,1,56.6
PRJ-0001,2026-06-11,37.0,58.5,2610.0,5652.5,180,2,75.0
PRJ-0001,2026-09-09,49.4,78.0,3480.0,5920.0,240,3,93.2
PRJ-0002,2025-12-13,19.9,21.5,722.5,3427.5,3,0,23.4
PRJ-0002,2026-03-13,39.9,43.0,1445.0,3435.0,7,0,26.7
PRJ-0002,2026-06-11,59.8,64.5,2167.5,3442.5,11,0,30.1
PRJ-0002,2026-09-09,79.8,86.0,2890.0,3450.0,15,0,33.4
PRJ-0003,2025-12-13,11.4,20.5,1325.0,6562.5,95,1,44.5
PRJ-0003,2026-03-13,22.8,41.0,2650.0,7025.0,190,2,69.1
PRJ-0003,2026-06-11,34.2,61.5,3975.0,7487.5,285,3,93.6
PRJ-0003,2026-09-09,45.6,82.0,5300.0,7950.0,380,5,95.0
PRJ-0004,2025-12-13,15.7,17.5,487.5,2997.5,10,0,24.3
PRJ-0004,2026-03-13,31.3,35.0,975.0,3015.0,20,0,28.7
PRJ-0004,2026-06-11,47.0,52.5,1462.5,3032.5,30,0,33.0
PRJ-0004,2026-09-09,62.7,70.0,1950.0,3050.0,40,1,37.3
PRJ-0005,2025-12-13,13.1,17.0,650.0,4260.0,27,0,29.6
PRJ-0005,2026-03-13,26.1,34.0,1300.0,4400.0,55,1,39.5
PRJ-0005,2026-06-11,39.2,51.0,1950.0,4540.0,82,1,49.1
PRJ-0005,2026-09-09,52.2,68.0,2600.0,4680.0,110,2,58.9
PRJ-0006,2025-12-13,14.7,18.0,1150.0,6900.0,32,0,28.7
PRJ-0006,2026-03-13,29.4,36.0,2300.0,7000.0,65,1,37.5
PRJ-0006,2026-06-11,44.2,54.0,3450.0,7100.0,97,1,46.1
PRJ-0006,2026-09-09,58.9,72.0,4600.0,7200.0,130,2,54.9
PRJ-0007,2025-12-13,8.5,14.5,525.0,5600.0,47,0,35.1
PRJ-0007,2026-03-13,17.1,29.0,1050.0,5800.0,95,1,50.1
PRJ-0007,2026-06-11,25.6,43.5,1575.0,6000.0,142,2,65.3
PRJ-0007,2026-09-09,34.2,58.0,2100.0,6200.0,190,3,80.3
PRJ-0008,2025-12-13,13.8,19.8,18000.0,112250.0,80,1,37.3
PRJ-0008,2026-03-13,27.5,39.5,36000.0,116500.0,160,2,54.7
PRJ-0008,2026-06-11,41.3,59.2,54000.0,120750.0,240,3,71.8
PRJ-0008,2026-09-09,55.1,79.0,72000.0,125000.0,320,4,89.1
PRJ-0009,2025-12-13,22.3,24.0,7450.0,30568.5,5,0,23.7
PRJ-0009,2026-03-13,44.6,48.0,14900.0,30779.0,10,0,27.5
PRJ-0009,2026-06-11,67.0,72.0,22350.0,30989.5,15,0,31.0
PRJ-0009,2026-09-09,89.3,96.0,29800.0,31200.0,20,0,34.7
PRJ-0010,2025-12-13,19.2,21.8,11050.0,52025.0,18,0,26.4
PRJ-0010,2026-03-13,38.5,43.5,22100.0,52950.0,37,0,32.5
PRJ-0010,2026-06-11,57.7,65.2,33150.0,53875.0,56,0,38.7
PRJ-0010,2026-09-09,77.0,87.0,44200.0,54800.0,75,1,45.0
PRJ-0011,2025-12-13,14.0,21.0,3475.0,17612.0,72,1,38.8
PRJ-0011,2026-03-13,28.0,42.0,6950.0,19008.0,145,2,57.7
PRJ-0011,2026-06-11,42.0,63.0,10425.0,20404.0,217,3,76.5
PRJ-0011,2026-09-09,56.0,84.0,13900.0,21800.0,290,4,95.0
PRJ-0012,2025-12-13,12.1,19.5,1275.0,5628.2,85,0,40.5
PRJ-0012,2026-03-13,24.2,39.0,2550.0,6235.5,170,1,60.9
PRJ-0012,2026-06-11,36.3,58.5,3825.0,6842.8,255,2,81.4
PRJ-0012,2026-09-09,48.4,78.0,5100.0,7450.0,340,3,95.0
PRJ-0013,2025-12-13,17.1,18.8,412.5,2195.0,7,0,23.9
PRJ-0013,2026-03-13,34.2,37.5,825.0,2210.0,15,0,27.6
PRJ-0013,2026-06-11,51.3,56.2,1237.5,2225.0,22,0,31.3
PRJ-0013,2026-09-09,68.4,75.0,1650.0,2240.0,30,0,35.2
PRJ-0014,2025-12-13,14.5,19.0,962.5,6100.5,35,0,31.3
PRJ-0014,2026-03-13,29.0,38.0,1925.0,6207.0,70,1,42.7
PRJ-0014,2026-06-11,43.5,57.0,2887.5,6313.5,105,1,54.0
PRJ-0014,2026-09-09,57.9,76.0,3850.0,6420.0,140,2,65.5
PRJ-0015,2025-12-13,10.0,17.0,1550.0,13973.8,65,0,38.3
PRJ-0015,2026-03-13,19.9,34.0,3100.0,14582.5,130,1,56.9
PRJ-0015,2026-06-11,29.9,51.0,4650.0,15191.2,195,2,75.2
PRJ-0015,2026-09-09,39.9,68.0,6200.0,15800.0,260,3,93.5
PRJ-0016,2025-12-13,16.6,18.0,455.0,2960.5,3,0,23.0
PRJ-0016,2026-03-13,33.2,36.0,910.0,2967.0,7,0,26.1
PRJ-0016,2026-06-11,49.9,54.0,1365.0,2973.5,11,0,28.9
PRJ-0016,2026-09-09,66.5,72.0,1820.0,2980.0,15,0,32.0
PRJ-0017,2025-12-13,13.8,17.2,1050.0,7018.2,21,0,28.2
PRJ-0017,2026-03-13,27.5,34.5,2100.0,7095.5,42,1,36.8
PRJ-0017,2026-06-11,41.3,51.8,3150.0,7172.8,63,1,45.2
PRJ-0017,2026-09-09,55.1,69.0,4200.0,7250.0,85,2,53.5
PRJ-0018,2025-12-13,21.1,22.8,1775.0,8386.8,2,0,23.5
PRJ-0018,2026-03-13,42.3,45.5,3550.0,8394.5,5,0,26.7
PRJ-0018,2026-06-11,63.4,68.2,5325.0,8402.2,7,0,30.1
PRJ-0018,2026-09-09,84.5,91.0,7100.0,8410.0,10,0,33.7
PRJ-0019,2025-12-13,20.9,23.8,4725.0,10025.5,122,0,33.9
PRJ-0019,2026-03-13,41.8,47.5,9450.0,13766.0,245,1,47.7
PRJ-0019,2026-06-11,62.7,71.2,14175.0,17506.5,367,2,61.5
PRJ-0019,2026-09-09,83.6,95.0,18900.0,21247.0,490,3,75.5
PRJ-0020,2025-12-13,12.3,18.0,1300.0,8571.5,52,0,34.9
PRJ-0020,2026-03-13,24.7,36.0,2600.0,9031.0,105,1,49.6
PRJ-0020,2026-06-11,37.0,54.0,3900.0,9490.5,157,2,64.5
PRJ-0020,2026-09-09,49.4,72.0,5200.0,9950.0,210,3,79.2
PRJ-0021,2025-12-13,19.7,21.2,950.0,4662.5,5,0,23.3
PRJ-0021,2026-03-13,39.4,42.5,1900.0,4675.0,10,0,26.9
PRJ-0021,2026-06-11,59.1,63.8,2850.0,4687.5,15,0,30.4
PRJ-0021,2026-09-09,78.8,85.0,3800.0,4700.0,20,0,33.7
PRJ-0022,2025-12-13,21.6,23.5,3800.0,14999.5,16,0,24.9
PRJ-0022,2026-03-13,43.2,47.0,7600.0,15633.0,32,0,29.7
PRJ-0022,2026-06-11,64.8,70.5,11400.0,16266.5,48,0,34.6
PRJ-0022,2026-09-09,86.5,94.0,15200.0,16900.0,65,1,39.3
PRJ-0023,2025-12-13,22.6,24.0,1700.0,7317.5,2,0,22.9
PRJ-0023,2026-03-13,45.1,48.0,3400.0,7345.0,5,0,26.1
PRJ-0023,2026-06-11,67.7,72.0,5100.0,7372.5,7,0,29.1
PRJ-0023,2026-09-09,90.2,96.0,6800.0,7400.0,10,0,32.3
PRJ-0024,2025-12-13,5.0,10.0,2800.0,76790.0,45,0,33.0
PRJ-0024,2026-03-13,8.5,16.0,5600.0,77360.0,90,1,41.0
PRJ-0024,2026-06-11,12.8,24.0,8400.0,77930.0,135,2,51.4
PRJ-0024,2026-09-09,17.1,32.0,11200.0,78500.0,180,3,61.8
PRJ-0025,2025-12-13,5.0,10.0,1050.0,44275.0,37,0,32.5
