project_code,project_name,ministry,department,sector,state,location,implementing_agency,approved_cost,revised_cost,expenditure,physical_progress,planned_progress,delay_days,milestones_total,milestones_completed,milestones_delayed,contractor_status,land_acquisition_status,environmental_clearance_status,utility_shifting_status,project_status,latitude,longitude
PRJ-0001,Delhi-Amritsar-Katra Expressway Package-04,Ministry of Road Transport & Highways,National Highways Authority of India,Roads,Punjab,Jalandhar - Amritsar Section,NHAI,4850.0,5920.0,3480.0,52.0,78.0,240,5,2,3,Delayed,Delayed,In Progress,Delayed,Delayed,31.326,75.5762
PRJ-0002,Bengaluru-Chennai Expressway Section II,Ministry of Road Transport & Highways,National Highways Authority of India,Roads,Karnataka,Malur - Bangarpet Segment,NHAI,3420.0,3450.0,2890.0,84.0,86.0,15,4,3,0,On Track,Completed,Completed,Completed,Ongoing,12.985,77.939
PRJ-0003,Varanasi-Ranchi-Kolkata Economic Corridor PKG-7,Ministry of Road Transport & Highways,National Highways Authority of India,Roads,Bihar,Sasaram - Gaya Border,NHAI,6100.0,7950.0,5300.0,48.0,82.0,380,6,1,5,Critical,Delayed,Pending,Delayed,Delayed,24.7914,85.0002
PRJ-0004,Ahmedabad-Dholera Expressway Link,Ministry of Road Transport & Highways,National Highways Authority of India,Roads,Gujarat,Sarkhej - Dholera SIR,NHAI,2980.0,3050.0,1950.0,66.0,70.0,40,4,2,1,Minor Delay,Completed,Completed,In Progress,Ongoing,22.2475,72.1963
PRJ-0005,Raipur-Visakhapatnam Greenfield Corridor PKG-3,Ministry of Road Transport & Highways,National Highways Authority of India,Roads,Odisha,Nabarangpur - Koraput Section,NHAI,4120.0,4680.0,2600.0,55.0,68.0,110,5,2,2,Delayed,In Progress,Delayed,In Progress,Ongoing,18.8135,82.7118
PRJ-0006,Zojila Tunnel Construction Project,Ministry of Road Transport & Highways,NHIDCL,Roads,Jammu & Kashmir,Baltal - Minamarg,NHIDCL,6800.0,7200.0,4600.0,62.0,72.0,130,5,3,2,Minor Delay,Completed,Completed,Completed,Ongoing,34.2885,75.4673
PRJ-0007,Hyderabad Regional Ring Road Northern Arc,Ministry of Road Transport & Highways,NHAI / State R&B,Roads,Telangana,Sangareddy - Toopran - Choutuppal,NHAI,5400.0,6200.0,2100.0,36.0,58.0,190,5,1,3,Delayed,Delayed,In Progress,Delayed,Ongoing,17.618,78.48
PRJ-0008,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Ministry of Railways,NHSRCL,Railways,Maharashtra,Bandra-Kurla to Surat,NHSRCL,108000.0,125000.0,72000.0,58.0,79.0,320,8,4,4,Minor Delay,Completed,Completed,Delayed,Ongoing,19.06,72.8656
PRJ-0009,Eastern Dedicated Freight Corridor (EDFC),Ministry of Railways,DFCCIL,Railways,Uttar Pradesh,Sonnagar - Dadri Section,DFCCIL,30358.0,31200.0,29800.0,94.0,96.0,20,6,5,0,On Track,Completed,Completed,Completed,Ongoing,28.5355,77.55
PRJ-0010,Western Dedicated Freight Corridor (WDFC) Phase 2,Ministry of Railways,DFCCIL,Railways,Rajasthan,Rewari - Palanpur Segment,DFCCIL,51100.0,54800.0,44200.0,81.0,87.0,75,6,4,1,On Track,Completed,Completed,In Progress,Ongoing,26.9124,75.7873
PRJ-0011,Rishikesh-Karanprayag New Broad Gauge Rail Link,Ministry of Railways,RVNL,Railways,Uttarakhand,Rishikesh - Karnaprayag,Rail Vikas Nigam Ltd,16216.0,21800.0,13900.0,59.0,84.0,290,7,3,4,Delayed,In Progress,Delayed,Delayed,Delayed,30.0869,78.2676
PRJ-0012,Bairabi-Sairang New Railway Line,Ministry of Railways,Northeast Frontier Railway,Railways,Assam,Bairabi - Sairang Corridor,NFR,5021.0,7450.0,5100.0,51.0,78.0,340,5,2,3,Delayed,Delayed,Pending,Delayed,Delayed,24.184,92.65
PRJ-0013,Kazipet-Vijayawada 3rd Railway Line & Electrification,Ministry of Railways,South Central Railway,Railways,Andhra Pradesh,Vijayawada - Kazipet Section,SCR,2180.0,2240.0,1650.0,72.0,75.0,30,4,3,0,On Track,Completed,Completed,Completed,Ongoing,16.5062,80.648
PRJ-0014,Bangalore Metro Rail Phase 2A (Silk Board - KR Puram),Ministry of Housing & Urban Affairs,Urban Transit,Metro,Karnataka,"Outer Ring Road, Bengaluru",BMRCL,5994.0,6420.0,3850.0,61.0,76.0,140,5,2,2,Minor Delay,Completed,Completed,Delayed,Ongoing,12.9166,77.6238
PRJ-0015,Patna Metro Rail Project Phase 1,Ministry of Housing & Urban Affairs,Urban Mass Transit,Metro,Bihar,Danapur - Mithapur - Khemnichak,DMRC / PMRCL,13365.0,15800.0,6200.0,42.0,68.0,260,6,2,3,Delayed,Delayed,Completed,Delayed,Delayed,25.5941,85.1376
PRJ-0016,Pune Metro Rail Project Phase 1 Extension,Ministry of Housing & Urban Affairs,Maha Metro,Metro,Maharashtra,Swargate - Katraj Corridor,Maha Metro,2954.0,2980.0,1820.0,70.0,72.0,15,4,3,0,On Track,Completed,Completed,Completed,Ongoing,18.5204,73.8567
PRJ-0017,Bhopal Metro Rail Orange Line,Ministry of Housing & Urban Affairs,MPMRCL,Metro,Madhya Pradesh,Karond Circle - AIIMS,MPMRCL,6941.0,7250.0,4200.0,58.0,69.0,85,5,2,2,Minor Delay,In Progress,Completed,In Progress,Ongoing,23.2599,77.4126
PRJ-0018,Agra Metro Rail Project Priority Corridor,Ministry of Housing & Urban Affairs,UPMRC,Metro,Uttar Pradesh,Taj East Gate - Jama Masjid,UPMRC,8379.0,8410.0,7100.0,89.0,91.0,10,4,3,0,On Track,Completed,Completed,Completed,Ongoing,27.1767,78.0081
